Type,year_of_publish,mean
Franchise Income,2012,398475
Franchise Income,2013,418940
Franchise Income,2014,453976
Franchise Income,2015,482329
Franchise Income,2016,513222
Franchise Income,2017,549571
Franchise Income,2018,592689
Franchise Income,2019,578342
Other Revenue,2012,37511
Other Revenue,2013,24844
Other Revenue,2014,26530
Other Revenue,2015,30191
Other Revenue,2016,53697
Other Revenue,2017,51466
Other Revenue,2018,52510
Other Revenue,2019,50075
Rental Income,2012,92145
Rental Income,2013,96816
Rental Income,2014,96082
Rental Income,2015,97663
Rental Income,2016,100422
Rental Income,2017,101020
Rental Income,2018,104643
Rental Income,2019,104413
Sales of Company Restaruant,2013,22922
Sales of Company Restaruant,2014,24976
Sales of Company Restaruant,2015,22206
Sales of Company Restaruant,2016,28340
Sales of Company Restaruant,2017,11975
Sales of IceCream,2012,100068
Sales of IceCream,2013,94659
Sales of IceCream,2014,112276
Sales of IceCream,2015,116320
Sales of IceCream,2016,115252
Sales of IceCream,2017,114857
Sales of IceCream,2018,110659
Sales of IceCream,2019,95197
Total Revenue,2012,628198
Total Revenue,2013,658181
Total Revenue,2014,713840
Total Revenue,2015,748709
Total Revenue,2016,810933
Total Revenue,2017,828889
Total Revenue,2018,860501
Total Revenue,2019,1321617
